Item,Quantity,Price,Total Cost,Link
CNC/SLM Parts,1,100,100,JLC CNC
Supervolcano Heater,1,22,22,https://www.lukeslabonline.com/products/high-wattage-heater?variant=47315067339053
PT1000,1,12,12,https://www.lukeslabonline.com/products/pt1000-rtd-sensor-e3d-dragonfly-dragon-mosquito-compatible
M2 Grub Screw,1,6,6,https://www.amazon.com/uxcell-Repairing-Instruments-Machinery-Equipment/dp/B0DDJBSF6B
v6 smooth heatbreak,1,7,7,https://www.aliexpress.us/item/3256803255102947.html?
boron nitride paste,1,13,13,https://lettucehead3d.com/product/boron-nitride-paste/
,,,0,
,,,0,
,,,0,
,,,0,
